,Median_hh_income,Total_population,Total_white_population,Percent_white_population,Percent_black_population,Average_hh_size,Percent_hh_built_1950s,Percent_hh_built_1960s,Percent_commute_drive,Percent_commute_walk,Percent_commute_pubtransit,Percent_home_owner_units,Percent_family_hhs,Percent_ed_bachelor_higher,NAME,state,county,tract,suburb_house_decades,Suburbanism_Flag,Housing_Age_Flag,Suburbanism_Extra_Flag,Combined_Flag,GEOID
54,75823.0,4448.0,4037.0,90.8,2.6,3.42,24.6,19.0,77.1,1.1,4.4,1050.0,76.8,29.0,"Census Tract 1581.03, Suffolk County, New York",36,103,158103,43.6,1,1,0,1,36103158103
55,142500.0,1496.0,1374.0,91.8,2.5,2.92,30.9,22.1,83.1,0.8,2.3,463.0,78.8,67.1,"Census Tract 1582.03, Suffolk County, New York",36,103,158203,53.0,0,1,0,0,36103158203
56,91277.0,4956.0,3975.0,80.2,14.5,3.05,3.2,12.1,80.7,0.0,3.3,964.0,71.0,31.5,"Census Tract 1583.09, Suffolk County, New York",36,103,158309,15.3,1,0,1,0,36103158309
57,127478.0,4500.0,4407.0,97.9,1.6,3.15,12.8,26.4,85.7,0.1,3.2,1302.0,81.3,53.0,"Census Tract 1584.02, Suffolk County, New York",36,103,158402,39.2,1,1,1,1,36103158402
58,84875.0,2072.0,1561.0,75.3,19.6,2.53,10.0,5.4,89.9,0.7,2.9,665.0,59.0,35.4,"Census Tract 1584.03, Suffolk County, New York",36,103,158403,15.4,0,0,0,0,36103158403
59,75842.0,4966.0,4285.0,86.3,4.6,3.18,9.2,32.8,91.9,0.4,2.4,1077.0,78.9,19.2,"Census Tract 1585.09, Suffolk County, New York",36,103,158509,42.0,1,1,0,1,36103158509
60,113929.0,5022.0,4220.0,84.0,4.2,3.35,12.5,28.3,86.4,0.0,6.4,1313.0,86.1,34.7,"Census Tract 1586.05, Suffolk County, New York",36,103,158605,40.8,1,1,1,1,36103158605
61,67547.0,8937.0,7549.0,84.5,14.1,2.47,3.9,11.3,80.4,3.1,3.0,2371.0,56.8,30.8,"Census Tract 1587.04, Suffolk County, New York",36,103,158704,15.200000000000001,0,0,0,0,36103158704
62,90250.0,3687.0,2981.0,80.9,14.9,3.01,7.4,4.2,81.1,0.9,1.9,953.0,81.9,24.0,"Census Tract 1587.10, Suffolk County, New York",36,103,158710,11.600000000000001,1,0,0,0,36103158710
63,69196.0,7225.0,6410.0,88.7,3.4,2.79,4.4,14.2,81.6,0.0,5.2,1522.0,69.0,24.8,"Census Tract 1591.05, Suffolk County, New York",36,103,159105,18.6,1,0,0,0,36103159105
64,56071.0,6674.0,4877.0,73.1,17.4,2.68,16.7,9.2,80.8,1.2,4.1,1293.0,68.2,21.0,"Census Tract 1594.04, Suffolk County, New York",36,103,159404,25.9,1,1,0,1,36103159404
65,86833.0,4264.0,3616.0,84.8,6.5,3.25,16.1,15.8,82.6,1.1,2.0,1001.0,78.7,16.5,"Census Tract 1594.08, Suffolk County, New York",36,103,159408,31.900000000000002,1,1,0,1,36103159408
66,92663.0,3282.0,3145.0,95.8,3.9,2.49,8.3,12.5,71.2,1.0,8.7,1005.0,64.2,34.8,"Census Tract 2010.03, Suffolk County, New York",36,103,201003,20.8,0,0,0,0,36103201003
67,82222.0,6474.0,6412.0,99.0,0.4,2.45,6.7,10.5,74.2,3.8,7.0,2261.0,72.3,38.9,"Census Tract 1702.01, Suffolk County, New York",36,103,170201,17.2,0,0,0,0,36103170201
68,63009.0,9195.0,6610.0,71.9,19.6,3.52,16.1,10.6,79.3,2.6,8.3,2085.0,86.2,15.2,"Census Tract 1595.06, Suffolk County, New York",36,103,159506,26.700000000000003,1,1,0,1,36103159506
69,116709.0,8367.0,8146.0,97.4,1.5,2.98,18.2,14.1,84.1,1.6,0.8,2607.0,85.9,45.8,"Census Tract 1697.01, Suffolk County, New York",36,103,169701,32.3,1,1,1,1,36103169701
70,84038.0,2527.0,2422.0,95.8,3.6,2.47,11.9,15.0,71.9,3.1,8.2,741.0,62.3,46.2,"Census Tract 1905.02, Suffolk County, New York",36,103,190502,26.9,0,1,0,0,36103190502
71,26551.0,4268.0,2379.0,55.7,36.3,2.4,17.4,4.2,66.1,3.8,14.5,556.0,58.4,20.0,"Census Tract 56, Erie County, New York",36,029,005600,21.599999999999998,0,0,0,0,36029005600
72,-666666666.0,2070.0,711.0,34.3,49.8,-666666666.0,-666666666.0,-666666666.0,35.5,27.1,25.3,0.0,-666666666.0,33.3,"Census Tract 62.01, Erie County, New York",36,029,006201,-1333333332.0,0,0,0,0,36029006201
73,43204.0,4327.0,4255.0,98.3,3.2,1.94,12.3,6.3,79.9,10.2,2.2,1415.0,51.8,27.8,"Census Tract 77, Erie County, New York",36,029,007700,18.6,0,0,0,0,36029007700
74,73103.0,5120.0,4381.0,85.6,1.8,1.9,4.4,9.7,79.3,3.1,0.8,1558.0,48.0,56.9,"Census Tract 90.08, Erie County, New York",36,029,009008,14.1,0,0,0,0,36029009008
75,114897.0,6915.0,6132.0,88.7,6.2,2.66,1.7,22.9,91.4,0.0,0.7,2524.0,79.0,63.2,"Census Tract 91.13, Erie County, New York",36,029,009113,24.599999999999998,1,1,1,1,36029009113
76,45135.0,5409.0,3174.0,58.7,23.0,2.42,37.1,8.6,68.8,5.2,6.2,1196.0,63.7,44.5,"Census Tract 93.01, Erie County, New York",36,029,009301,45.7,0,1,0,0,36029009301
77,58531.0,3005.0,2803.0,93.3,5.4,2.36,16.4,59.0,85.8,0.5,0.7,966.0,66.1,21.5,"Census Tract 97.01, Erie County, New York",36,029,009701,75.4,0,1,0,0,36029009701
78,66026.0,3398.0,3351.0,98.6,2.1,2.4,16.8,21.9,88.8,2.8,0.0,1178.0,75.1,23.9,"Census Tract 120.02, Erie County, New York",36,029,012002,38.7,1,1,0,1,36029012002
79,35433.0,2963.0,2518.0,85.0,11.4,2.25,15.5,9.9,77.7,2.3,5.1,636.0,51.4,5.2,"Census Tract 123, Erie County, New York",36,029,012300,25.4,0,1,0,0,36029012300
80,55548.0,4805.0,4194.0,87.3,11.0,2.34,22.7,6.0,84.0,1.2,2.3,1515.0,60.8,29.2,"Census Tract 6, Erie County, New York",36,029,000600,28.7,0,1,0,0,36029000600
81,54697.0,2567.0,2358.0,91.9,4.2,2.34,25.2,11.2,76.3,1.4,5.8,607.0,64.0,29.0,"Census Tract 9, Erie County, New York",36,029,000900,36.4,0,1,0,0,36029000900
82,23922.0,2684.0,220.0,8.2,89.9,2.19,5.0,13.4,62.3,4.3,16.5,498.0,56.6,16.5,"Census Tract 34, Erie County, New York",36,029,003400,18.4,0,0,0,0,36029003400
83,20278.0,3111.0,395.0,12.7,85.9,2.79,16.1,1.3,54.4,1.6,23.6,349.0,71.1,10.8,"Census Tract 38, Erie County, New York",36,029,003800,17.400000000000002,0,0,0,0,36029003800
84,36020.0,5799.0,1379.0,23.8,71.7,2.32,8.5,3.9,64.9,8.4,17.9,798.0,55.2,18.1,"Census Tract 47, Erie County, New York",36,029,004700,12.4,0,0,0,0,36029004700
85,60469.0,2244.0,1791.0,79.8,12.2,2.05,31.6,5.1,80.6,0.0,5.0,559.0,35.5,35.1,"Census Tract 50, Erie County, New York",36,029,005000,36.7,0,1,0,0,36029005000
86,61016.0,3960.0,3425.0,86.5,10.8,2.13,18.0,4.8,72.5,3.7,5.9,927.0,48.3,57.7,"Census Tract 54, Erie County, New York",36,029,005400,22.8,0,1,0,0,36029005400
87,136689.0,6431.0,4739.0,73.7,5.9,2.07,1.1,1.9,7.9,3.1,74.1,857.0,48.3,73.9,"Census Tract 555, Kings County, New York",36,047,055500,3.0,0,0,0,0,36047055500
88,87361.0,2214.0,1927.0,87.0,3.7,2.11,8.8,5.2,12.8,8.8,65.4,152.0,35.4,66.1,"Census Tract 557, Kings County, New York",36,047,055700,14.0,0,0,0,0,36047055700
89,81691.0,1537.0,1417.0,92.2,1.0,1.94,4.5,4.7,9.0,7.7,71.4,145.0,31.9,69.3,"Census Tract 569, Kings County, New York",36,047,056900,9.2,0,0,0,0,36047056900
90,18310.0,5551.0,1451.0,26.1,57.1,2.41,55.1,6.5,20.5,3.3,61.5,0.0,70.7,15.4,"Census Tract 572, Kings County, New York",36,047,057200,61.6,0,1,0,0,36047057200
91,82448.0,2593.0,2063.0,79.6,12.6,2.42,12.8,8.1,17.1,12.0,56.5,256.0,46.0,52.2,"Census Tract 573, Kings County, New York",36,047,057300,20.9,0,0,0,0,36047057300
92,72656.0,3935.0,3374.0,85.7,1.1,1.85,4.1,6.4,11.3,6.5,64.2,329.0,35.5,47.0,"Census Tract 575, Kings County, New York",36,047,057500,10.5,0,0,0,0,36047057500
93,49750.0,2812.0,1761.0,62.6,0.4,2.98,10.0,3.7,12.4,9.4,60.8,212.0,70.0,19.9,"Census Tract 582, Kings County, New York",36,047,058200,13.7,0,0,0,0,36047058200
94,67279.0,3391.0,2648.0,78.1,5.6,2.69,24.6,47.8,32.7,6.3,48.1,722.0,67.2,45.1,"Census Tract 598, Kings County, New York",36,047,059800,72.4,0,1,0,0,36047059800
95,51111.0,3432.0,2777.0,80.9,5.2,2.18,14.1,17.3,27.1,10.6,49.8,469.0,48.3,52.2,"Census Tract 608, Kings County, New York",36,047,060800,31.4,0,1,0,0,36047060800
96,74250.0,1588.0,1334.0,84.0,1.2,2.55,57.0,8.7,39.0,7.1,36.7,506.0,60.5,35.1,"Census Tract 632, Kings County, New York",36,047,063200,65.7,0,1,0,0,36047063200
97,88750.0,3030.0,2281.0,75.3,3.7,3.58,13.4,1.1,44.1,8.9,35.1,583.0,79.8,40.8,"Census Tract 644, Kings County, New York",36,047,064400,14.5,0,0,0,0,36047064400
98,81406.0,1992.0,1424.0,71.5,1.8,2.78,20.0,2.6,51.5,6.6,32.6,601.0,70.1,48.4,"Census Tract 658, Kings County, New York",36,047,065800,22.6,0,1,0,0,36047065800
99,100978.0,2295.0,1876.0,81.7,1.0,3.23,13.7,3.3,52.4,1.7,29.2,676.0,78.5,41.7,"Census Tract 660, Kings County, New York",36,047,066000,17.0,0,0,0,0,36047066000
100,80417.0,2897.0,795.0,27.4,58.2,3.06,35.5,35.7,34.9,1.4,49.0,563.0,71.6,32.4,"Census Tract 670, Kings County, New York",36,047,067000,71.2,0,1,0,0,36047067000
101,101146.0,2234.0,496.0,22.2,66.1,3.54,24.6,3.6,35.5,6.3,49.7,445.0,80.5,41.9,"Census Tract 690, Kings County, New York",36,047,069000,28.200000000000003,0,1,0,0,36047069000
102,107264.0,3000.0,339.0,11.3,81.1,3.7,37.9,16.4,43.2,3.0,46.9,523.0,88.7,33.4,"Census Tract 692, Kings County, New York",36,047,069200,54.3,0,1,0,0,36047069200
103,30096.0,5337.0,88.0,1.6,93.4,2.28,0.0,4.3,13.7,5.3,76.3,105.0,63.4,11.0,"Census Tract 359, Kings County, New York",36,047,035900,4.3,0,0,0,0,36047035900
104,21750.0,3090.0,3034.0,98.2,0.9,1.86,15.9,18.9,17.9,11.3,62.7,393.0,51.0,44.3,"Census Tract 360.01, Kings County, New York",36,047,036001,34.8,0,1,0,0,36047036001
105,28960.0,2973.0,198.0,6.7,77.6,2.42,9.0,3.1,7.1,5.9,83.5,106.0,49.6,9.1,"Census Tract 361, Kings County, New York",36,047,036100,12.1,0,0,0,0,36047036100
106,31075.0,4331.0,242.0,5.6,84.7,2.55,1.6,0.0,20.8,8.6,67.5,321.0,62.6,17.6,"Census Tract 363, Kings County, New York",36,047,036300,1.6,0,0,0,0,36047036300
107,112125.0,6269.0,4598.0,73.3,1.8,3.28,69.9,4.3,74.5,1.0,14.0,1753.0,88.7,38.5,"Census Tract 5192, Nassau County, New York",36,059,519200,74.2,1,1,0,1,36059519200
108,153140.0,3344.0,2702.0,80.8,1.5,2.79,61.0,19.2,69.7,0.0,21.9,1150.0,86.1,62.8,"Census Tract 5197.03, Nassau County, New York",36,059,519703,80.2,1,1,1,1,36059519703
109,128393.0,2539.0,2017.0,79.4,0.0,3.13,63.4,12.9,72.2,0.0,19.2,659.0,77.8,53.9,"Census Tract 5198.01, Nassau County, New York",36,059,519801,76.3,0,1,0,0,36059519801
110,108553.0,4356.0,3966.0,91.0,2.7,3.02,37.0,21.1,77.8,0.0,13.2,1247.0,79.8,46.4,"Census Tract 5200.02, Nassau County, New York",36,059,520002,58.1,1,1,1,1,36059520002
111,119861.0,3888.0,3645.0,93.8,0.5,3.09,73.9,9.3,75.2,1.8,14.9,1220.0,81.2,35.6,"Census Tract 5208, Nassau County, New York",36,059,520800,83.2,1,1,1,1,36059520800
112,112019.0,3058.0,2867.0,93.8,2.4,3.17,46.7,12.0,74.4,0.0,15.7,862.0,78.8,39.0,"Census Tract 5212, Nassau County, New York",36,059,521200,58.7,1,1,1,1,36059521200
113,123274.0,4820.0,4731.0,98.2,0.6,3.02,53.0,11.1,71.7,0.8,13.6,1583.0,81.4,44.7,"Census Tract 5217, Nassau County, New York",36,059,521700,64.1,1,1,1,1,36059521700
114,126644.0,3854.0,3632.0,94.2,3.2,3.16,78.6,8.3,73.9,1.5,12.0,1120.0,84.8,38.3,"Census Tract 5218.01, Nassau County, New York",36,059,521801,86.89999999999999,1,1,1,1,36059521801
115,74598.0,6260.0,4810.0,76.8,3.8,1.77,29.4,19.9,39.6,9.2,37.4,1890.0,40.5,60.2,"Census Tract 3007, Nassau County, New York",36,059,300700,49.3,0,1,0,0,36059300700
116,118857.0,4886.0,4275.0,87.5,0.7,2.41,34.0,12.7,71.4,3.7,13.4,1455.0,63.8,71.9,"Census Tract 3020, Nassau County, New York",36,059,302000,46.7,0,1,0,0,36059302000
117,113889.0,5294.0,3856.0,72.8,1.4,2.97,39.2,12.5,75.4,1.4,13.1,1711.0,78.5,47.9,"Census Tract 3024, Nassau County, New York",36,059,302400,51.7,1,1,0,1,36059302400
118,116199.0,5821.0,3026.0,52.0,0.2,3.3,43.1,5.5,66.5,2.5,19.2,1330.0,83.2,49.3,"Census Tract 3030, Nassau County, New York",36,059,303000,48.6,1,1,0,1,36059303000
119,140819.0,4337.0,1692.0,39.0,49.7,3.46,65.6,9.8,68.2,0.8,18.7,1173.0,85.9,41.8,"Census Tract 3039, Nassau County, New York",36,059,303900,75.39999999999999,1,1,0,1,36059303900
120,129896.0,4328.0,3998.0,92.4,1.4,3.13,31.6,7.4,63.9,1.9,20.6,1250.0,83.9,55.9,"Census Tract 4046, Nassau County, New York",36,059,404600,39.0,1,1,1,1,36059404600
121,104792.0,5652.0,735.0,13.0,73.5,3.86,51.7,6.7,68.5,0.3,23.9,1325.0,86.6,32.7,"Census Tract 4049.01, Nassau County, New York",36,059,404901,58.400000000000006,1,1,0,1,36059404901
122,100212.0,4868.0,3478.0,71.4,9.2,3.36,26.9,7.5,76.8,3.1,9.8,1197.0,80.4,34.6,"Census Tract 4060.01, Nassau County, New York",36,059,406001,34.4,1,1,0,1,36059406001
123,174559.0,6901.0,4436.0,64.3,3.3,2.93,17.3,36.5,62.7,1.9,23.6,2031.0,77.0,71.5,"Census Tract 5185.01, Nassau County, New York",36,059,518501,53.8,1,1,0,1,36059518501
124,92952.0,6104.0,5403.0,88.5,3.4,2.29,16.5,7.1,76.2,4.3,7.9,1756.0,54.1,45.6,"Census Tract 5180, Nassau County, New York",36,059,518000,23.6,0,1,0,0,36059518000
125,159474.0,4474.0,3308.0,73.9,1.5,3.08,38.4,18.0,68.2,1.0,21.2,1326.0,87.4,69.3,"Census Tract 5184, Nassau County, New York",36,059,518400,56.4,1,1,0,1,36059518400
126,114821.0,4306.0,3462.0,80.4,0.0,3.08,70.8,5.7,79.1,2.3,8.4,1261.0,78.8,37.0,"Census Tract 5194, Nassau County, New York",36,059,519400,76.5,1,1,1,1,36059519400
127,158864.0,5829.0,5301.0,90.9,1.7,2.6,21.8,7.6,50.6,2.9,31.4,1831.0,75.2,75.2,"Census Tract 3010, Nassau County, New York",36,059,301000,29.4,0,1,0,0,36059301000
128,142679.0,6168.0,5691.0,92.3,0.5,2.79,13.0,15.8,47.4,3.4,31.8,1501.0,75.2,70.8,"Census Tract 3012, Nassau County, New York",36,059,301200,28.8,0,1,0,0,36059301200
